rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
186,frame_0172.jpg,68.8,0.2557,0.2656,0.1429,0.4,4,1,False,False
187,frame_0208.jpg,83.2,0.2555,0.207,0.0,0.76,2,0,False,False
188,frame_0231.jpg,92.4,0.2555,0.2755,0.2857,0.16,7,2,False,False
189,frame_0269.jpg,107.6,0.2548,0.3222,0.2857,0.04,8,2,False,False
190,frame_0117.jpg,46.8,0.2513,0.2568,0.1429,0.4,6,1,False,False
191,frame_0273.jpg,109.2,0.2495,0.2795,0.2857,0.12,6,2,False,False
192,frame_0207.jpg,82.8,0.249,0.178,0.0,0.8,1,0,False,False
193,frame_0118.jpg,47.2,0.246,0.2302,0.1429,0.44,6,1,False,False
194,frame_0225.jpg,90.0,0.2454,0.2874,0.2857,0.08,7,2,False,False
195,frame_0221.jpg,88.4,0.2445,0.3073,0.1429,0.24,4,1,False,False
196,frame_0391.jpg,156.4,0.2445,0.3873,0.1429,0.04,3,1,False,False
197,frame_0176.jpg,70.4,0.2424,0.303,0.1429,0.24,6,1,False,False
198,frame_0102.jpg,40.8,0.2417,0.3497,0.1429,0.12,3,1,False,False
199,frame_0206.jpg,82.4,0.2406,0.1772,0.0,0.76,2,0,False,False
200,frame_0226.jpg,90.4,0.2404,0.2934,0.2857,0.04,3,2,False,False
201,frame_0119.jpg,47.6,0.2378,0.1978,0.1429,0.48,5,1,False,False
202,frame_0305.jpg,122.0,0.2376,0.2774,0.1429,0.28,4,1,False,False
203,frame_0390.jpg,156.0,0.2349,0.2663,0.2857,0.08,7,2,False,False
204,frame_0184.jpg,73.6,0.2334,0.2634,0.2857,0.08,6,2,False,False
205,frame_0314.jpg,125.6,0.2305,0.3432,0.1429,0.08,7,1,False,False
206,frame_0220.jpg,88.0,0.228,0.2583,0.1429,0.28,4,1,False,False
207,frame_0098.jpg,39.2,0.2263,0.2651,0.2857,0.04,5,2,False,False
208,frame_0104.jpg,41.6,0.2251,0.3165,0.1429,0.12,3,1,False,False
209,frame_0219.jpg,87.6,0.2236,0.2335,0.1429,0.32,4,1,False,False
210,frame_0232.jpg,92.8,0.2222,0.2787,0.1429,0.2,6,1,False,False
211,frame_0213.jpg,85.2,0.222,0.2199,0.0,0.56,3,0,False,False
212,frame_0186.jpg,74.4,0.2213,0.2552,0.2857,0.04,8,2,False,False
213,frame_0110.jpg,44.0,0.2182,0.3027,0.1429,0.12,3,1,False,False
214,frame_0385.jpg,154.0,0.2161,0.2665,0.1429,0.2,4,1,False,False
